                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 2.8286,                 3.7083,                  2.314,                0.52628,                0.02632,                0.00209,                0.00053,                 3.2643,                 7.8213,                  3.838,              0.0091783,              0.0091783,              0.0091783
                     85,                 3.0467,                 3.8828,                 2.3627,                0.59304,                0.05263,                0.01194,                0.00178,                 3.1659,                  5.348,                 3.1841,              0.0091684,              0.0091684,              0.0091684
                     86,                 2.7882,                 3.8393,                 2.3696,                0.51328,                0.02632,                0.00199,                0.00051,                  3.098,                 4.5654,                  3.063,              0.0091585,              0.0091585,              0.0091585
                     87,                 2.9077,                 4.0021,                 2.2979,                0.00172,                0.02632,                0.00144,                0.00051,                 3.2323,                 4.8398,                 2.9078,              0.0091486,              0.0091486,              0.0091486
                     88,                 3.0384,                 3.9074,                 2.4846,                 0.0005,                0.15789,                0.00169,                0.00032,                 3.3248,                 4.5291,                 2.9072,              0.0091387,              0.0091387,              0.0091387
                     89,                  2.658,                 3.8307,                 2.2404,                0.50868,                0.02632,                0.00112,                 0.0003,                 3.2624,                  4.808,                 2.9196,              0.0091288,              0.0091288,              0.0091288
                     90,                 2.9267,                 3.8876,                 2.4041,                0.50191,                0.05263,                0.00069,                0.00014,                 3.3389,                  5.746,                 2.9909,              0.0091189,              0.0091189,              0.0091189
                     91,                 3.0607,                 3.9493,                 2.4266,                0.00067,                0.21053,                0.00065,                0.00017,                 3.2663,                 4.4269,                  2.895,               0.009109,               0.009109,               0.009109
                     92,                 2.8693,                 3.8185,                 2.3148,                0.00067,                0.21053,                0.00092,                0.00023,                 3.2046,                 4.3525,                 2.8373,              0.0090991,              0.0090991,              0.0090991
                     93,                 3.0035,                 3.9839,                 2.4269,                0.50391,                0.02632,                0.00103,                0.00046,                 3.2142,                 4.7897,                 3.3286,              0.0090892,              0.0090892,              0.0090892
                     94,                 2.7645,                 3.7643,                 2.2288,                0.50479,                0.02632,                0.00132,                0.00066,                 3.2704,                 4.4576,                 3.3057,              0.0090793,              0.0090793,              0.0090793
                     95,                 2.8256,                 3.8061,                 2.2413,                0.00125,                0.07895,                0.00062,                0.00016,                  3.002,                 6.6642,                 3.3538,              0.0090694,              0.0090694,              0.0090694
                     96,                 2.7989,                 3.9125,                 2.4653,                0.00175,                0.02632,                0.00059,                0.00016,                 3.0188,                 6.0759,                 3.6408,              0.0090595,              0.0090595,              0.0090595
                     97,                 2.7333,                  3.883,                 2.2537,                 0.0019,                0.05263,                0.00055,                0.00022,                  3.041,                 6.1325,                 3.3618,              0.0090496,              0.0090496,              0.0090496
                     98,                 2.8172,                 4.0145,                 2.1557,                0.00042,                0.13158,                 0.0008,                0.00026,                  3.039,                 4.5358,                  3.174,              0.0090397,              0.0090397,              0.0090397
                     99,                 2.8702,                 3.6176,                 2.3185,                0.00069,                0.15789,                0.00151,                0.00059,                 3.1042,                  4.157,                 2.9612,              0.0090298,              0.0090298,              0.0090298
                    100,                 2.8205,                 3.8519,                 2.3506,                0.00057,                0.15789,                0.00089,                0.00039,                  3.137,                 4.2029,                 2.9644,              0.0090199,              0.0090199,              0.0090199
                    101,                  2.867,                 3.8129,                 2.4592,                0.00072,                0.13158,                 0.0016,                0.00069,                  3.229,                 4.0774,                 3.0137,                0.00901,                0.00901,                0.00901
                    102,                  2.718,                 3.5241,                  2.198,                0.00048,                0.10526,                0.00083,                0.00025,                 3.4339,                 4.1544,                 3.0934,              0.0090001,              0.0090001,              0.0090001
                    103,                 2.9311,                 3.7594,                 2.4459,                0.00078,                0.15789,                0.00145,                0.00033,                 3.4469,                 4.2316,                 3.1155,              0.0089902,              0.0089902,              0.0089902
                    104,                 2.7716,                 3.5652,                 2.4211,                0.00049,                0.10526,                0.00084,                0.00036,                 3.3043,                 4.2963,                 3.1322,              0.0089803,              0.0089803,              0.0089803
                    105,                 2.9045,                 3.7045,                 2.3663,                0.00057,                0.10526,                0.00074,                0.00032,                 3.3312,                 4.4594,                 3.0226,              0.0089704,              0.0089704,              0.0089704
                    106,                 2.8652,                 3.6889,                 2.3301,                0.00047,                0.13158,                0.00108,                0.00032,                 3.1654,                  4.153,                 3.1194,              0.0089605,              0.0089605,              0.0089605
                    107,                  2.574,                 3.6576,                 2.3321,                0.00047,                0.10526,                0.00118,                0.00028,                 3.3671,                 4.1813,                 3.2645,              0.0089506,              0.0089506,              0.0089506
                    108,                 2.9198,                 3.7561,                   2.44,                0.00043,                0.10526,                 0.0008,                0.00023,                 3.4048,                 4.0653,                 3.2612,              0.0089407,              0.0089407,              0.0089407
                    109,                 2.8431,                 3.8025,                  2.348,                0.00044,                0.10526,                 0.0008,                 0.0002,                  3.329,                 4.1358,                 3.1535,              0.0089308,              0.0089308,              0.0089308
                    110,                 2.6778,                 3.5647,                 2.2389,                0.00031,                0.07895,                0.00033,                  7e-05,                 3.5225,                 4.4283,                 3.3243,              0.0089209,              0.0089209,              0.0089209
                    111,                 2.6637,                 3.7464,                 2.3685,                0.00045,                0.13158,                0.00041,                  8e-05,                 3.4051,                 4.6231,                 3.3182,               0.008911,               0.008911,               0.008911
                    112,                 2.7196,                 3.7549,                 2.2262,                0.00068,                0.21053,                0.00065,                0.00016,                 3.3549,                 4.9607,                 3.2108,              0.0089011,              0.0089011,              0.0089011
                    113,                 2.7443,                 3.4164,                 2.3248,                0.00051,                0.15789,                 0.0005,                0.00018,                 3.2332,                 5.2136,                 3.1621,              0.0088912,              0.0088912,              0.0088912
                    114,                 2.6106,                 3.7337,                 2.1255,                0.00061,                0.18421,                 0.0007,                0.00017,                 3.3566,                 4.8707,                  3.234,              0.0088813,              0.0088813,              0.0088813
                    115,                 2.5621,                 3.6065,                  2.316,                0.00042,                0.13158,                0.00052,                0.00019,                 3.2104,                 5.6501,                 3.1522,              0.0088714,              0.0088714,              0.0088714
                    116,                 2.7538,                 3.6032,                 2.2726,                0.00045,                0.13158,                0.00041,                0.00012,                  3.234,                 5.0062,                 3.1614,              0.0088615,              0.0088615,              0.0088615
                    117,                 2.9239,                  3.796,                 2.3723,                0.00034,                0.10526,                0.00035,                0.00013,                  3.185,                 5.5563,                 3.3503,              0.0088516,              0.0088516,              0.0088516
                    118,                 2.8396,                 3.9623,                 2.3093,                0.50081,                0.07895,                0.00027,                0.00011,                 3.2024,                 8.9547,                 3.3573,              0.0088417,              0.0088417,              0.0088417
                    119,                 2.5453,                 3.6311,                 2.2485,                0.50131,                0.07895,                0.00045,                0.00019,                 3.2646,                 18.124,                 3.4144,              0.0088318,              0.0088318,              0.0088318
                    120,                 2.7425,                 3.4372,                 2.3305,                0.50166,                0.07895,                0.00053,                0.00019,                 3.3798,                 21.996,                 3.5294,              0.0088219,              0.0088219,              0.0088219
                    121,                 2.7107,                 3.6717,                 2.2757,                0.00033,                0.10526,                0.00021,                  7e-05,                 3.5863,                 9.1221,                 3.7547,               0.008812,               0.008812,               0.008812
                    122,                 2.6751,                 3.8414,                 2.2152,                0.00042,                0.13158,                 0.0003,                  9e-05,                 3.6153,                 5.8139,                 3.7166,              0.0088021,              0.0088021,              0.0088021
                    123,                 2.8616,                 3.8802,                 2.3215,                0.00042,                0.13158,                0.00028,                  8e-05,                  3.463,                 6.3828,                 3.4195,              0.0087922,              0.0087922,              0.0087922
                    124,                 2.5615,                 3.6015,                  2.321,                0.00058,                0.18421,                0.00084,                0.00018,                 3.3853,                 4.6968,                 3.3947,              0.0087823,              0.0087823,              0.0087823
                    125,                 2.6207,                 3.3948,                 2.2585,                0.00051,                0.15789,                 0.0007,                0.00015,                 3.3797,                  4.633,                 3.1481,              0.0087724,              0.0087724,              0.0087724
                    126,                 2.4987,                 3.3372,                 2.2729,                0.00044,                0.13158,                0.00037,                  7e-05,                 3.4101,                 4.5444,                  3.258,              0.0087625,              0.0087625,              0.0087625
                    127,                 2.6752,                 3.5265,                 2.2331,                0.00025,                0.07895,                0.00061,                  9e-05,                 3.3017,                 4.7255,                 3.2278,              0.0087526,              0.0087526,              0.0087526
                    128,                 2.5779,                 3.3086,                 2.1692,                0.00025,                0.07895,                0.00026,                  5e-05,                 3.5145,                 4.9817,                 3.3461,              0.0087427,              0.0087427,              0.0087427
                    129,                 2.6067,                 3.8966,                  2.216,                0.00033,                0.10526,                0.00032,                 0.0001,                 3.3785,                  4.949,                 3.2708,              0.0087328,              0.0087328,              0.0087328
                    130,                 2.5763,                  3.757,                 2.3695,                0.00033,                0.10526,                0.00041,                0.00011,                 3.3718,                 5.3002,                 3.3064,              0.0087229,              0.0087229,              0.0087229
                    131,                 2.7091,                 3.3693,                 2.3036,                0.05182,                0.02632,                0.00353,                0.00102,                 3.3267,                 5.6243,                 3.2479,               0.008713,               0.008713,               0.008713
                    132,                 2.4139,                 3.3238,                 2.1283,                0.00042,                0.13158,                0.00039,                 0.0001,                 3.5272,                  4.707,                 3.2557,              0.0087031,              0.0087031,              0.0087031
                    133,                 2.6934,                  3.551,                 2.2422,                0.00017,                0.05263,                0.00013,                  3e-05,                 3.2523,                 5.0289,                 3.1493,              0.0086932,              0.0086932,              0.0086932
