                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 2.9494,                 3.9046,                 2.3617,                  8e-05,                0.02632,                  5e-05,                  3e-05,                 3.5696,                 6.5432,                 3.3279,              0.0094258,              0.0094258,              0.0094258
                     60,                 2.9213,                 3.9302,                 2.4147,                  8e-05,                0.02632,                  5e-05,                  1e-05,                 3.8586,                 5.7156,                 3.7982,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.7553,                 3.6715,                  2.398,                  8e-05,                0.02632,                  5e-05,                  1e-05,                 3.7573,                 7.1615,                 3.6045,               0.009406,               0.009406,               0.009406
                     62,                 3.0274,                 3.8722,                 2.4079,                  8e-05,                0.02632,                  4e-05,                      0,                 3.8875,                 6.2703,                 3.8518,              0.0093961,              0.0093961,              0.0093961
                     63,                 2.8779,                 3.8535,                 2.3678,                  8e-05,                0.02632,                0.00013,                  1e-05,                 3.9276,                 8.7507,                 3.5502,              0.0093862,              0.0093862,              0.0093862
                     64,                 2.9622,                  3.927,                 2.3923,                0.00017,                0.05263,                 0.0001,                  4e-05,                 3.8579,                 15.122,                 3.8544,              0.0093763,              0.0093763,              0.0093763
                     65,                 2.9839,                 3.8444,                 2.3643,                  8e-05,                0.02632,                  4e-05,                      0,                 4.1714,                 16.573,                 4.1002,              0.0093664,              0.0093664,              0.0093664
                     66,                 2.9114,                 3.8895,                  2.277,                0.00017,                0.05263,                0.00011,                  2e-05,                 4.1495,                 8.1049,                 4.5142,              0.0093565,              0.0093565,              0.0093565
                     67,                 2.7267,                 3.6395,                 2.2115,                0.00017,                0.05263,                0.00011,                  2e-05,                 3.8235,                  10.16,                 4.2966,              0.0093466,              0.0093466,              0.0093466
                     68,                 3.0467,                 3.8726,                 2.4504,                0.00308,                0.02632,                0.00059,                 0.0002,                 3.4658,                 5.8057,                 5.3754,              0.0093367,              0.0093367,              0.0093367
