                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.90238,                0.90646,                 1.1089,                0.47051,                0.45429,                0.45061,                0.30054,                 1.3207,                 1.6512,                 1.4862,              0.0091486,              0.0091486,              0.0091486
                     88,                0.87045,                 0.8813,                 1.0896,                0.51537,                0.47324,                0.44084,                0.30807,                 1.3406,                 1.7717,                 1.5171,              0.0091387,              0.0091387,              0.0091387
                     89,                0.89692,                0.90633,                 1.0955,                 0.6485,                0.41643,                0.42097,                0.31019,                 1.2694,                 1.6636,                 1.4622,              0.0091288,              0.0091288,              0.0091288
                     90,                0.88764,                0.89926,                 1.0948,                0.54292,                0.46879,                0.45336,                0.31359,                  1.313,                 1.8046,                  1.482,              0.0091189,              0.0091189,              0.0091189
                     91,                0.88644,                0.88377,                 1.0969,                 0.7456,                0.38398,                0.44417,                0.29735,                 1.3097,                  1.746,                  1.492,               0.009109,               0.009109,               0.009109
                     92,                0.88694,                0.86806,                 1.1037,                0.73514,                0.36028,                0.41695,                 0.3032,                 1.2841,                 1.7089,                 1.4844,              0.0090991,              0.0090991,              0.0090991
                     93,                0.88251,                0.87003,                 1.0994,                0.65237,                0.35977,                0.42178,                0.28997,                 1.3103,                 1.8166,                 1.5109,              0.0090892,              0.0090892,              0.0090892
                     94,                 0.8677,                0.86927,                 1.0916,                0.74961,                 0.3603,                0.40861,                0.29472,                 1.2971,                 1.6862,                  1.487,              0.0090793,              0.0090793,              0.0090793
                     95,                0.88458,                0.87797,                 1.0961,                0.61886,                0.40486,                0.44533,                0.30649,                 1.3221,                 1.7616,                 1.4976,              0.0090694,              0.0090694,              0.0090694
                     96,                0.85929,                0.85378,                 1.0914,                0.52846,                0.45167,                0.42735,                0.30515,                 1.2862,                 1.7556,                 1.4906,              0.0090595,              0.0090595,              0.0090595
                     97,                0.88395,                0.86176,                 1.0917,                0.55304,                0.48305,                0.44784,                  0.302,                 1.2747,                 1.7134,                 1.4597,              0.0090496,              0.0090496,              0.0090496
                     98,                0.87772,                0.84919,                 1.0868,                0.64519,                0.48327,                0.41839,                 0.2805,                 1.2985,                  1.749,                 1.4893,              0.0090397,              0.0090397,              0.0090397
                     99,                0.84359,                0.79787,                 1.0725,                0.48991,                0.53235,                0.45494,                0.30304,                 1.3004,                 1.8919,                 1.5163,              0.0090298,              0.0090298,              0.0090298
                    100,                0.85789,                0.81679,                 1.0705,                0.71005,                0.42189,                0.42608,                0.30611,                 1.3161,                 1.7208,                 1.5106,              0.0090199,              0.0090199,              0.0090199
                    101,                0.85244,                0.83509,                 1.0831,                  0.658,                0.41963,                0.44226,                0.30954,                 1.3409,                 1.7168,                 1.5313,                0.00901,                0.00901,                0.00901
                    102,                0.84471,                0.81966,                 1.0806,                0.54762,                0.40182,                0.43411,                0.30217,                 1.2807,                 1.7406,                 1.4704,              0.0090001,              0.0090001,              0.0090001
                    103,                  0.832,                0.81557,                 1.0707,                0.67166,                0.40847,                0.44555,                0.29934,                 1.3278,                 1.7252,                 1.5081,              0.0089902,              0.0089902,              0.0089902
                    104,                0.82994,                0.80086,                 1.0631,                0.60007,                0.39891,                0.38241,                 0.2686,                 1.2819,                 1.8655,                 1.4787,              0.0089803,              0.0089803,              0.0089803
                    105,                0.84751,                0.80786,                  1.072,                0.64644,                0.40189,                0.39774,                0.29321,                 1.2531,                 1.8079,                 1.4622,              0.0089704,              0.0089704,              0.0089704
                    106,                0.82887,                0.79146,                  1.068,                0.66028,                0.40624,                0.40967,                0.28128,                 1.3102,                 1.7304,                 1.5094,              0.0089605,              0.0089605,              0.0089605
                    107,                 0.8121,                0.76055,                  1.057,                0.61339,                0.42796,                0.41199,                0.29615,                 1.3428,                 1.7972,                 1.5196,              0.0089506,              0.0089506,              0.0089506
                    108,                0.84268,                0.79111,                 1.0625,                0.51921,                0.49603,                0.45614,                0.30176,                 1.2679,                 1.6206,                 1.4906,              0.0089407,              0.0089407,              0.0089407
                    109,                0.82658,                0.78393,                 1.0608,                0.62315,                0.38659,                0.41442,                  0.304,                 1.2732,                 1.7172,                  1.463,              0.0089308,              0.0089308,              0.0089308
                    110,                0.83487,                 0.7919,                 1.0615,                0.76422,                0.34259,                0.41676,                0.28964,                 1.3166,                 1.7303,                  1.498,              0.0089209,              0.0089209,              0.0089209
                    111,                0.81482,                0.78555,                 1.0512,                0.62418,                0.40461,                0.42956,                0.30895,                 1.3333,                 1.7588,                 1.5362,               0.008911,               0.008911,               0.008911
                    112,                0.81205,                0.77744,                 1.0531,                0.63726,                0.43398,                 0.4068,                0.29581,                 1.3148,                 1.8165,                 1.5173,              0.0089011,              0.0089011,              0.0089011
                    113,                0.80281,                0.75184,                 1.0574,                0.63791,                0.39291,                0.40039,                0.28737,                 1.3362,                 1.8885,                 1.5265,              0.0088912,              0.0088912,              0.0088912
                    114,                0.82469,                 0.7641,                 1.0604,                0.55853,                0.40883,                0.39099,                0.28072,                 1.2999,                 1.9261,                 1.5067,              0.0088813,              0.0088813,              0.0088813
                    115,                0.83257,                0.77452,                 1.0694,                0.54929,                0.42774,                 0.4114,                0.28891,                  1.365,                 1.8196,                 1.5702,              0.0088714,              0.0088714,              0.0088714
                    116,                0.80534,                0.73949,                 1.0499,                0.66824,                0.41866,                 0.4485,                0.31892,                 1.2941,                 1.6848,                 1.5096,              0.0088615,              0.0088615,              0.0088615
                    117,                0.81077,                 0.7449,                 1.0471,                0.61293,                0.45695,                0.47108,                0.31764,                 1.3216,                  1.771,                 1.5084,              0.0088516,              0.0088516,              0.0088516
